age_range,outcome,involved_person,self_defined_ethnicity,gender,legislation,outcome_linked_to_object_of_search,datetime,removal_of_more_than_outer_clothing,operation,officer_defined_ethnicity,type,operation_name,object_of_search,outcome_object_id,outcome_object_name,latitude,longitude,street_id,street_name,lng,lat
18-24,Khat or Cannabis warning,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-07T02:53:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-khat-or-cannabis-warning,Khat or Cannabis warning,53.450719,-2.243926,721933,On or near Alexandra Avenue,-2.243926,53.450719
18-24,Arrest,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2019-01-07T18:30:00+00:00,FALSE,FALSE,Black,Person search,NA,Offensive weapons,bu-arrest,Arrest,53.485269,-2.277790,726452,On or near Cross Lane,-2.27779,53.485269
10-17,Arrest,TRUE,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2019-01-08T17:20:00+00:00,FALSE,FALSE,Black,Person search,NA,Offensive weapons,bu-arrest,Arrest,53.479896,-2.234630,725979,On or near Circus Street,-2.23463,53.479896
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-08T17:43:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.549976,-2.006723,740994,On or near Metcalf Gardens,-2.006723,53.549976
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-08T17:43:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.549976,-2.006723,740994,On or near Metcalf Gardens,-2.006723,53.549976
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-08T17:50:00+00:00,FALSE,TRUE,White,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.479434,-2.241182,725953,On or near Mosley Street,-2.241182,53.479434
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-09T18:50:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.480277,-2.237782,725946,On or near Parker Street,-2.237782,53.480277
18-24,A no further action disposal,TRUE,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Female,Misuse of Drugs Act 1971 (section 23),NA,2019-01-09T20:45:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.433560,-2.230311,717868,On or near Patten Street,-2.230311,53.43356
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-10T00:53:00+00:00,FALSE,FALSE,White,Person search,NA,Article for use in theft,bu-no-further-action,A no further action disposal,53.495867,-2.330422,728407,On or near Westmorland Road,-2.330422,53.495867
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-11T15:05:00+00:00,FALSE,FALSE,White,Person search,NA,Stolen goods,bu-no-further-action,A no further action disposal,53.417654,-2.203654,716581,On or near Cambo Walk,-2.203654,53.417654
10-17,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-11T15:05:00+00:00,FALSE,FALSE,White,Person search,NA,Stolen goods,bu-no-further-action,A no further action disposal,53.417654,-2.203654,716581,On or near Cambo Walk,-2.203654,53.417654
10-17,A no further action disposal,TRUE,White - Irish,NA,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-11T16:20:00+00:00,FALSE,FALSE,White,Person search,NA,Offensive weapons,bu-no-further-action,A no further action disposal,53.542350,-2.287279,739645,On or near Thatch Leach Lane,-2.287279,53.54235
10-17,Arrest,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T18:00:00+00:00,FALSE,FALSE,Asian,Person and Vehicle search,NA,Controlled drugs,bu-arrest,Arrest,53.402705,-1.789978,621109,On or near Snake Road,-1.789978,53.402705
10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-12T18:15:00+00:00,FALSE,FALSE,Asian,Person search,NA,Article for use in theft,bu-no-further-action,A no further action disposal,53.451445,-2.265869,722041,On or near Green Walk,-2.265869,53.451445
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-12T19:15:00+00:00,FALSE,FALSE,White,Person search,NA,Controlled drugs,bu-community-resolution,Community resolution,53.577130,-2.432062,744220,On or near Parking Area,-2.432062,53.57713
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-12T20:00:00+00:00,FALSE,FALSE,Black,Person search,NA,Stolen goods,bu-no-further-action,A no further action disposal,53.391708,-2.121428,713877,On or near Wrights Bank South,-2.121428,53.391708
18-24,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Female,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-13T02:30:00+00:00,FALSE,FALSE,White,Person search,NA,Stolen goods,bu-no-further-action,A no further action disposal,53.475029,-2.250318,723340,On or near Trafford Street,-2.250318,53.475029
10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-13T19:33:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.469819,-2.257006,723267,On or near Galgate Close,-2.257006,53.469819
10-17,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),NA,2019-01-14T00:12:00+00:00,FALSE,FALSE,Asian,Person search,NA,Articles for use in criminal damage,bu-no-further-action,A no further action disposal,53.537766,-2.096634,735813,On or near Chesterfield Street,-2.096634,53.537766
18-24,Penalty Notice for Disorder,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2019-01-14T09:20:00+00:00,FALSE,FALSE,Black,Person search,NA,Controlled drugs,bu-penalty-notice,Penalty Notice for Disorder,53.455663,-2.239150,721827,On or near Kensington Street,-2.23915,53.455663
10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-14T18:05:00+00:00,FALSE,FALSE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.612414,-2.141984,749633,On or near St John'S Drive,-2.141984,53.612414
10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-14T18:05:00+00:00,FALSE,FALSE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.612414,-2.141984,749633,On or near St John'S Drive,-2.141984,53.612414
10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-14T18:05:00+00:00,FALSE,FALSE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.612414,-2.141984,749633,On or near St John'S Drive,-2.141984,53.612414
under 10,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-14T18:05:00+00:00,FALSE,FALSE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.612414,-2.141984,749633,On or near St John'S Drive,-2.141984,53.612414
10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),NA,2019-01-14T18:05:00+00:00,FALSE,FALSE,Asian,Person search,NA,Controlled drugs,bu-no-further-action,A no further action disposal,53.612414,-2.141984,749633,On or near St John'S Drive,-2.141984,53.612414
